# graph=cua-driver	target=x86_64-unknown-linux-gnu	lock_sha256=a510513612cbb9c93b9f24b2c6f329c64c07013f333b9abcc3dcea0bccf9b13a	external_packages=320
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
cargo_metadata	0.19.2	registry+https://github.com/rust-lang/crates.io-index	dd5eb614ed4c27c5d706420e4320fbe3216ab31fa1c33cd8246ac36dae4479ba	MIT	MIT	https://github.com/oli-obk/cargo_metadata	0b4be024c57d7855a2dfbdf2ec2a48f3e16e9f78		LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
cc	1.2.62	registry+https://github.com/rust-lang/crates.io-index	a1dce859f0832a7d088c4f1119888ab94ef4b5d6795d1ce05afb7fe159d79f98	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs	37a5f8f4e1a2eaf4cf483fc0fb97d35761b720c5		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if	3510ca6abea34cbbc702509a4e50ea9709925eda		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
chacha20	0.10.1	registry+https://github.com/rust-lang/crates.io-index	d524456ba66e72eb8b115ff89e01e497f8e6d11d78b70b1aa13c0fbd97540a81	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/stream-ciphers	5f3430b7531a33aa14957b6bd407b46687635124	chacha20	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:b8c6939380a400f53e11923d50fcc4dd2fa1ba8339fd9d04cda38a0251b6c9b0
chrono	0.4.45	registry+https://github.com/rust-lang/crates.io-index	1aa79e62e7697b8e29b513a68abacf485adcd1fe8284a4316c5ae868e6633327	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/chronotope/chrono	170338250e836976a211e64728ec956e45e78a39		LICENSE.txt@sha256:946c9835d8034d24404f8cfec5f4654cee5dad17e944afc3d06d742cf2882831
chrono-tz	0.10.4	registry+https://github.com/rust-lang/crates.io-index	a6139a8597ed92cf816dfb33f5dd6cf0bb93a6adc938f11039f371bc5bcd26c3	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/chronotope/chrono-tz	e15d1f308a1ac2fdf3f1bf19c325dc202d418081	chrono-tz	LICENSE@sha256:4789210f4df8abc03fce1cddd9c2ba517f184840687f2815d741de282c1aa93a;tz/LICENSE@sha256:0613408568889f5739e5ae252b722a2659c02002839ad970a63dc5e9174b27cf
clipboard-rs	0.3.5	registry+https://github.com/rust-lang/crates.io-index	d1c988a897ea030e32f0668c90b0192800e0c561b3d941fc366f9ad5a1bf26ba	MIT	MIT	https://github.com/ChurchTao/clipboard-rs	85797aafaa40cc119451516fbab0a4fa67b3c6d3		LICENSE@sha256:3467db29f1ec98b2e1e4d27562ca14f10f4500ba35ac352fe640f8774e0f663e
cobs	0.3.0	registry+https://github.com/rust-lang/crates.io-index	0fa961b519f0b462e3a3b4a34b64d119eeaca1d59af726fe450bbba07a9fc0a1	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/jamesmunns/cobs.rs	b86d5c1ace3d8c311d1db143f05f8083743700d1		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:e0cfa1006a64520633de6bfbf563f5b1bea04ef0c5b73f049681931fa297dda3
concurrent-queue	2.5.0	registry+https://github.com/rust-lang/crates.io-index	4ca0197aee26d1ae37445ee532fefce43251d24cc7c166799f4d46817f1d3973	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/concurrent-queue	e874f701f8413de01948c4903f894e5c845d8950		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
cpufeatures	0.2.17	registry+https://github.com/rust-lang/crates.io-index	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils	9d92d5e95ab4c07c5d8bfd024bf2a17e96d20feb	cpufeatures	LICENSE-APACHE@sha256:a9040321c3712d8fd0b09cf52b17445de04a23a10165049ae187cd39e5c86be5;LICENSE-MIT@sha256:ae9baa7beea910273c2f384c2a6b721fb7bd02bda3436074a1072e4ee689f985
