# graph=buzzardos-guest	target=x86_64-unknown-linux-gnu	lock_sha256=2da24166e73630e224b55194ac670630a9aa7ff6b20ed7e3e77f8a0ab2a2212f	external_packages=63
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
petgraph	0.8.3	registry+https://github.com/rust-lang/crates.io-index	8701b58ea97060d5e5b155d383a69952a60943f0e6dfe30b04c287beb0b27455	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/petgraph/petgraph	162903562ce5b00cdba390a0d9c1bb80f1c75bf5		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:7576269ea71f767b99297934c0b2367532690f8c4badc695edf8e04ab6a1e545;assets/images/LICENSE.md@sha256:608fdcbb7daea2541c57228f21fc97deec310b19dafde70b2f4b84a96bf779f8
pkg-config	0.3.33	registry+https://github.com/rust-lang/crates.io-index	19f132c84eca552bf34cab8ec81f1c1dcc229b811638f9d283dceabe58c5569e	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/rust-lang/pkg-config-rs	f4ac872e02f9e2c111c55f3ed0eee6284d41d50f		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397
png	0.18.1	registry+https://github.com/rust-lang/crates.io-index	60769b8b31b2a9f263dae2776c37b1b28ae246943cf719eb6946a1db05128a61	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/image-rs/image-png	2a3f980245e3ae38b82ade96533e7b450e8477bb		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:eaf40297c75da471f7cda1f3458e8d91b4b2ec866e609527a13acfa93b638652
proc-macro2	1.0.107	registry+https://github.com/rust-lang/crates.io-index	985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/proc-macro2	ed8a5497669cd63db33bf24646f261b012bbbc4a		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
pxfm	0.1.30	registry+https://github.com/rust-lang/crates.io-index	d55d956fa96f5ec02be2e13af0e20391a5aa83d6a074e3ad368959d0fab299ea	BSD-3-Clause OR Apache-2.0	BSD-3-Clause OR Apache-2.0	https://github.com/awxkee/pxfm	acf7acd00cfc845307eda7b7b2de19e42303de82		LICENSE-APACHE.md@sha256:90bf2d659c43045111b65c733ab2a6d4cbcb422a098368c8c58a9ba3db4ed0c5;LICENSE.md@sha256:2aa92cada6431e75615e3fe6cb1a9082c98f777d48ae1c087c0da0e37f7b8bff
quick-error	2.0.1	registry+https://github.com/rust-lang/crates.io-index	a993555f31e5a609f617c12db6250dedcac1b0a85076912c436e6fc9b2c8e6a3	MIT/Apache-2.0	MIT OR Apache-2.0	http://github.com/tailhook/quick-error	25ab982bb0c43130ae48485151f4a232eeab7d0c		LICENSE-APACHE@sha256:c6596eb7be8581c18be736c846fb9173b69eccf6ef94c5135893ec56bd92ba08;LICENSE-MIT@sha256:058f01fe181608d027fcde7e528fc03ea3cf90f30903c407644b0a9bbc54f500
quick-xml	0.41.0	registry+https://github.com/rust-lang/crates.io-index	e660451e55124f798a69a5af3f49ccfbefbd41910eefd25caf2393e1f3473ec1	MIT	MIT	https://github.com/tafia/quick-xml	4deda08abeffdc188c269360229cf47e12a77a9f		LICENSE-MIT.md@sha256:5b2c207dcf571267ebe0bbdd5bf321f561ddc22ff597e7b363e96f4539507a29
quote	1.0.47	registry+https://github.com/rust-lang/crates.io-index	1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/quote	723dcb47d3f0ddc896e17287c8a8d3f2ea2317d5		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
rustix	1.1.4	registry+https://github.com/rust-lang/crates.io-index	b6fe4565b9518b83ef4f91bb47ce29620ca828bd32cb7e408f0062e9930ba190	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/rustix	c4caf5caaa7e93828a2e4a4cdba1dd0171e45717		COPYRIGHT@sha256:377c2e7c53250cc5905c0b0532d35973392af16ffb9596a41d99d202cf3617c9;LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-Apache-2.0_WITH_LLVM-exception@sha256:268872b9816f90fd8e85db5a28d33f8150ebb8dd016653fb39ef1f94f2686bc5;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
shlex	2.0.1	registry+https://github.com/rust-lang/crates.io-index	f8fadd59c855ef2080decdef8ff161eb6661b86933c9d82e5ba29dc602a55aba	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/comex/rust-shlex	e82b1411beb7c92871c2c078c9ab415bbcf207ef		LICENSE-APACHE@sha256:553fffcd9b1cb158bc3e9edc35da85ca5c3b3d7d2e61c883ebcfa8a65814b583;LICENSE-MIT@sha256:4455bf75a91154108304cb283e0fea9948c14f13e20d60887cf2552449dea3b1
