libqrencode4:amd64	4.1.1-2+b2
libqt6core5compat6:amd64	6.10.2-4
libqt6core6t64:amd64	6.10.2+dfsg-15
libqt6dbus6:amd64	6.10.2+dfsg-15
libqt6gui6:amd64	6.10.2+dfsg-15
libqt6multimedia6:amd64	6.10.2-4
libqt6multimediawidgets6:amd64	6.10.2-4
libqt6network6:amd64	6.10.2+dfsg-15
libqt6opengl6:amd64	6.10.2+dfsg-15
libqt6printsupport6:amd64	6.10.2+dfsg-15
libqt6qml6:amd64	6.10.2+dfsg-6
libqt6qmlmeta6:amd64	6.10.2+dfsg-6
libqt6qmlmodels6:amd64	6.10.2+dfsg-6
libqt6qmlworkerscript6:amd64	6.10.2+dfsg-6
libqt6quick6:amd64	6.10.2+dfsg-6
libqt6quickwidgets6:amd64	6.10.2+dfsg-6
libqt6svg6:amd64	6.10.2-9
libqt6texttospeech6:amd64	6.10.2-3
libqt6waylandclient6:amd64	6.10.2+dfsg-15
libqt6waylandcompositor6:amd64	6.10.2-5
libqt6widgets6:amd64	6.10.2+dfsg-15
libqt6wlshellintegration6:amd64	6.10.2+dfsg-15
libqt6xml6:amd64	6.10.2+dfsg-15
librabbitmq4:amd64	0.17.0-1
libraptor2-0:amd64	2.0.16-7
librav1e0.8:amd64	0.8.1-11
libraw1394-11:amd64	2.1.2-2.1
libre2-11:amd64	20251105-1+b1
libreadline8t64:amd64	8.3-4
librist4:amd64	0.2.20+dfsg-1
libroc0.4:amd64	0.4.0+dfsg-6
librsvg2-2:amd64	2.62.1+dfsg-1
librtmp1:amd64	2.6-1
librubberband3:amd64	4.0.0+dfsg-2
libsamplerate0:amd64	0.2.2-4+b3
libsasl2-2:amd64	2.1.28+dfsg1-11
libsasl2-modules-db:amd64	2.1.28+dfsg1-11
libsbc1:amd64	2.1-1+b2
libsdl2-2.0-0:amd64	2.32.70+ds-1
libsdl3-0:amd64	3.4.12+ds-1
libseat1:amd64	0.9.3-1
libseccomp2:amd64	2.6.1-1
libsecret-1-0:amd64	0.21.7-2+b1
libsecret-common	0.21.7-2
libselinux1:amd64	3.11-2
libsemanage-common	3.11-1
libsemanage2:amd64	3.11-1
libsensors-config	1:3.6.2-2
libsensors5:amd64	1:3.6.2-2+b2
libsepol2:amd64	3.11-1
libserd-0-0:amd64	0.32.10-2
libsharpyuv0:amd64	1.5.0-0.1+b2
libshine3:amd64	3.1.1-4
